age,gender,profiles,cases,score
28,Male,1,1,
24,Female,1,1,
25,Male,31,0,
,Male,1,0,
39,Male,1,2,5
31,Female,3,6,
30,Female,1,1,
33,Female,1,0,
,Male,1,1,
21,Female,1,2,
38,Male,1,1,
25,Male,2,1,
32,Male,1,0,
22,Male,1,1,
23,Male,1,1,
30,Male,4,17,
,Male,1,0,
26,Male,2,0,
,Male,1,0,
,Male,2,0,
51,Male,1,1,
20,Male,2,1,
15,Male,2,1,5
25,Female,1,1,5
21,Male,1,1,
,Male,2,0,
28,Male,2,1,
22,Female,2,2,5
,Male,1,0,
28,Female,2,5,
24,Male,3,8,
19,Male,1,1,
26,Male,1,2,
26,Male,1,1,1
